,Name,Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Int,PD,FF,FR,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Ret,Rt,Y/Rt,APYd,Player ID,QBrec,Cmp,Cmp%,TD%,Int%,AY/A,Y/C,Rate,Sk%,NY/A,ANY/A,4QC,GWD,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Y/P,RetYds,Net,NY/P,In20,In20%,Blck,QBR
131,Anthony Allen,1988.0,29.0,WAS,WR,89.0,14.0,0.0,,5.0,48.0,9.6,1.0,,,18.0,0.4,3.4,,,,,0.0,,,,,,,5.0,9.6,48.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Anthony Allen,1989.0,30.0,SDG,WR,89.0,7.0,0.0,,2.0,19.0,9.5,0.0,,,11.0,0.3,2.7,,,,,0.0,,,,,,,2.0,9.5,19.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Devon Allen,2023.0,29.0,PHI,WR,82.0,2.0,0.0,,,,,0.0,,,,,,,,,17.0,0.0,,,17.0,,,,,,,,,0.0,,,,,,,,,,,,,,1.0,17.0,17.0,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Jake Allen,2009.0,24.0,2TM,WR,,3.0,0.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0%,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Keenan Allen,2013.0,21.0,SDG,WR,13.0,15.0,14.0,105.0,71.0,1046.0,14.7,8.0,54.0,61.9,43.0,4.7,69.7,67.6%,10.0,,,0.0,,,,,,,71.0,14.7,1046.0,8.0,2.0,10.0,,,,,,,,,,,,AP ORoY-2,,,,,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Keenan Allen,2014.0,22.0,SDG,WR,13.0,14.0,14.0,121.0,77.0,783.0,10.2,4.0,41.0,49.6,35.0,5.5,55.9,63.6%,6.5,,,0.0,,,,,,,77.0,10.2,783.0,4.0,2.0,6.0,,,,,,,,,,,,,,,,,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Keenan Allen,2015.0,23.0,SDG,WR,13.0,8.0,8.0,89.0,67.0,725.0,10.8,4.0,34.0,62.9,38.0,8.4,90.6,75.3%,8.1,,,0.0,,,,,,,67.0,10.8,725.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Keenan Allen,2016.0,24.0,SDG,WR,13.0,1.0,1.0,7.0,6.0,63.0,10.5,0.0,6.0,85.7,15.0,6.0,63.0,85.7%,9.0,,,0.0,,,,,,,6.0,10.5,63.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Keenan Allen,2017.0,25.0,LAC,WR,13.0,16.0,15.0,159.0,102.0,1393.0,13.7,6.0,74.0,55.3,51.0,6.4,87.1,64.2%,8.8,2.0,9.0,0.0,0.0,50.0,6.0,4.5,0.6,0.1,104.0,13.5,1402.0,6.0,1.0,11.0,,,,,,,,,,,,"AP CPoY-1, PB",,,,,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Keenan Allen,2018.0,26.0,LAC,WR,13.0,16.0,14.0,136.0,97.0,1196.0,12.3,6.0,62.0,63.2,54.0,6.1,74.8,71.3%,8.8,9.0,75.0,0.0,4.0,44.4,28.0,8.3,4.7,0.6,106.0,12.0,1271.0,6.0,3.0,12.0,,,,,,,,,,,,PB,,,,,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
